classroom_id,block,floor,capacity,day,period,start_time,end_time,subject,scheduled,students_present,occupancy_ratio,scheduled_free,actually_available,availability_gap,source
A101,A,1,40,Mon,1,08:00,08:50,FREE,False,1.0,0.025,True,True,False,wifi_log
A101,A,1,40,Mon,2,08:50,09:40,FREE,False,1.0,0.025,True,True,False,wifi_log
A101,A,1,40,Mon,3,09:50,10:40,FREE,False,17.0,0.425,True,False,True,wifi_log
A101,A,1,40,Mon,4,10:40,11:30,Probability & Stats,True,28.0,0.7,False,False,False,wifi_log
A101,A,1,40,Mon,5,11:30,12:20,FREE,False,0.0,0.0,True,True,False,wifi_log
A101,A,1,40,Mon,6,13:10,14:00,FREE,False,9.0,0.225,True,False,True,wifi_log
A101,A,1,40,Mon,7,14:00,14:50,Data Structures,True,30.0,0.75,False,False,False,qr_checkin
A101,A,1,40,Mon,8,14:50,15:40,FREE,False,7.0,0.175,True,True,False,wifi_log
A101,A,1,40,Tue,1,08:00,08:50,Linear Algebra,True,28.0,0.7,False,False,False,qr_checkin
A101,A,1,40,Tue,2,08:50,09:40,FREE,False,1.0,0.025,True,True,False,wifi_log
A101,A,1,40,Tue,3,09:50,10:40,FREE,False,2.0,0.05,True,True,False,wifi_log
A101,A,1,40,Tue,4,10:40,11:30,FREE,False,2.0,0.05,True,True,False,wifi_log
A101,A,1,40,Tue,5,11:30,12:20,FREE,False,3.0,0.075,True,True,False,wifi_log
A101,A,1,40,Tue,6,13:10,14:00,FREE,False,1.0,0.025,True,True,False,qr_checkin
A101,A,1,40,Tue,7,14:00,14:50,FREE,False,17.0,0.425,True,False,True,qr_checkin
A101,A,1,40,Tue,8,14:50,15:40,Operating Systems,True,30.0,0.75,False,False,False,wifi_log
A101,A,1,40,Wed,1,08:00,08:50,FREE,False,1.0,0.025,True,True,False,wifi_log
A101,A,1,40,Wed,2,08:50,09:40,FREE,False,17.0,0.425,True,False,True,wifi_log
A101,A,1,40,Wed,3,09:50,10:40,FREE,False,13.0,0.325,True,False,True,wifi_log
A101,A,1,40,Wed,4,10:40,11:30,FREE,False,0.0,0.0,True,True,False,qr_checkin
A101,A,1,40,Wed,5,11:30,12:20,FREE,False,2.0,0.05,True,True,False,qr_checkin
A101,A,1,40,Wed,6,13:10,14:00,FREE,False,0.0,0.0,True,True,False,qr_checkin
A101,A,1,40,Wed,7,14:00,14:50,Operating Systems,True,33.0,0.825,False,False,False,wifi_log
A101,A,1,40,Wed,8,14:50,15:40,DBMS,True,33.0,0.825,False,False,False,wifi_log
A101,A,1,40,Thu,1,08:00,08:50,Probability & Stats,True,25.0,0.625,False,False,False,qr_checkin
A101,A,1,40,Thu,2,08:50,09:40,FREE,False,17.0,0.425,True,False,True,qr_checkin
A101,A,1,40,Thu,3,09:50,10:40,FREE,False,2.0,0.05,True,True,False,wifi_log
A101,A,1,40,Thu,4,10:40,11:30,FREE,False,1.0,0.025,True,True,False,qr_checkin
A101,A,1,40,Thu,5,11:30,12:20,FREE,False,0.0,0.0,True,True,False,qr_checkin
A101,A,1,40,Thu,6,13:10,14:00,FREE,False,6.0,0.15,True,True,False,wifi_log
A101,A,1,40,Thu,7,14:00,14:50,FREE,False,0.0,0.0,True,True,False,wifi_log
A101,A,1,40,Thu,8,14:50,15:40,FREE,False,9.0,0.225,True,False,True,wifi_log
A101,A,1,40,Fri,1,08:00,08:50,Economics,True,27.0,0.675,False,False,False,wifi_log
A101,A,1,40,Fri,2,08:50,09:40,FREE,False,0.0,0.0,True,True,False,wifi_log
A101,A,1,40,Fri,3,09:50,10:40,Probability & Stats,True,31.0,0.775,False,False,False,qr_checkin
A101,A,1,40,Fri,4,10:40,11:30,FREE,False,2.0,0.05,True,True,False,wifi_log
A101,A,1,40,Fri,5,11:30,12:20,FREE,False,11.0,0.275,True,False,True,wifi_log
A101,A,1,40,Fri,6,13:10,14:00,Communication Skills,True,34.0,0.85,False,False,False,qr_checkin
A101,A,1,40,Fri,7,14:00,14:50,Computer Networks,True,0.0,0.0,False,False,False,wifi_log
A101,A,1,40,Fri,8,14:50,15:40,FREE,False,12.0,0.3,True,False,True,wifi_log
A202,A,2,80,Mon,1,08:00,08:50,Data Structures,True,73.0,0.912,False,False,False,qr_checkin
A202,A,2,80,Mon,2,08:50,09:40,Data Structures,True,57.0,0.712,False,False,False,wifi_log
A202,A,2,80,Mon,3,09:50,10:40,FREE,False,13.0,0.162,True,True,False,qr_checkin
A202,A,2,80,Mon,4,10:40,11:30,FREE,False,13.0,0.162,True,True,False,qr_checkin
A202,A,2,80,Mon,5,11:30,12:20,Probability & Stats,True,55.0,0.688,False,False,False,wifi_log
A202,A,2,80,Mon,6,13:10,14:00,Operating Systems,True,53.0,0.662,False,False,False,wifi_log
A202,A,2,80,Mon,7,14:00,14:50,Operating Systems,True,62.0,0.775,False,False,False,wifi_log
A202,A,2,80,Mon,8,14:50,15:40,Economics,True,63.0,0.788,False,False,False,qr_checkin
A202,A,2,80,Tue,1,08:00,08:50,FREE,False,29.0,0.362,True,False,True,wifi_log
A202,A,2,80,Tue,2,08:50,09:40,FREE,False,0.0,0.0,True,True,False,wifi_log
A202,A,2,80,Tue,3,09:50,10:40,FREE,False,22.0,0.275,True,False,True,wifi_log
A202,A,2,80,Tue,4,10:40,11:30,Communication Skills,True,52.0,0.65,False,False,False,qr_checkin
A202,A,2,80,Tue,5,11:30,12:20,Data Structures,True,69.0,0.862,False,False,False,wifi_log
A202,A,2,80,Tue,6,13:10,14:00,FREE,False,27.0,0.338,True,False,True,wifi_log
A202,A,2,80,Tue,7,14:00,14:50,FREE,False,0.0,0.0,True,True,False,wifi_log
A202,A,2,80,Tue,8,14:50,15:40,FREE,False,0.0,0.0,True,True,False,qr_checkin
A202,A,2,80,Wed,1,08:00,08:50,FREE,False,7.0,0.088,True,True,False,wifi_log
A202,A,2,80,Wed,2,08:50,09:40,Economics,True,64.0,0.8,False,False,False,wifi_log
A202,A,2,80,Wed,3,09:50,10:40,FREE,False,23.0,0.288,True,False,True,qr_checkin
A202,A,2,80,Wed,4,10:40,11:30,Operating Systems,True,51.0,0.638,False,False,False,wifi_log
A202,A,2,80,Wed,5,11:30,12:20,Economics,True,59.0,0.738,False,False,False,wifi_log
A202,A,2,80,Wed,6,13:10,14:00,Computer Networks,True,75.0,0.938,False,False,False,wifi_log
A202,A,2,80,Wed,7,14:00,14:50,Operating Systems,True,68.0,0.85,False,False,False,wifi_log
A202,A,2,80,Wed,8,14:50,15:40,FREE,False,6.0,0.075,True,True,False,wifi_log
A202,A,2,80,Thu,1,08:00,08:50,Software Engineering,True,57.0,0.712,False,False,False,wifi_log
A202,A,2,80,Thu,2,08:50,09:40,Communication Skills,True,49.0,0.612,False,False,False,wifi_log
A202,A,2,80,Thu,3,09:50,10:40,FREE,False,0.0,0.0,True,True,False,wifi_log
A202,A,2,80,Thu,4,10:40,11:30,Linear Algebra,True,64.0,0.8,False,False,False,wifi_log
A202,A,2,80,Thu,5,11:30,12:20,Data Structures,True,60.0,0.75,False,False,False,wifi_log
A202,A,2,80,Thu,6,13:10,14:00,FREE,False,15.0,0.188,True,True,False,wifi_log
A202,A,2,80,Thu,7,14:00,14:50,DBMS,True,57.0,0.712,False,False,False,wifi_log
A202,A,2,80,Thu,8,14:50,15:40,Computer Networks,True,74.0,0.925,False,False,False,qr_checkin
A202,A,2,80,Fri,1,08:00,08:50,Machine Learning,True,52.0,0.65,False,False,False,wifi_log
A202,A,2,80,Fri,2,08:50,09:40,Linear Algebra,True,0.0,0.0,False,False,False,wifi_log
A202,A,2,80,Fri,3,09:50,10:40,FREE,False,0.0,0.0,True,True,False,wifi_log
A202,A,2,80,Fri,4,10:40,11:30,FREE,False,8.0,0.1,True,True,False,qr_checkin
A202,A,2,80,Fri,5,11:30,12:20,FREE,False,30.0,0.375,True,False,True,wifi_log
A202,A,2,80,Fri,6,13:10,14:00,FREE,False,28.0,0.35,True,False,True,qr_checkin
A202,A,2,80,Fri,7,14:00,14:50,FREE,False,0.0,0.0,True,True,False,wifi_log
A202,A,2,80,Fri,8,14:50,15:40,DBMS,True,54.0,0.675,False,False,False,wifi_log
A303,A,3,50,Mon,1,08:00,08:50,Operating Systems,True,36.0,0.72,False,False,False,wifi_log
A303,A,3,50,Mon,2,08:50,09:40,Machine Learning,True,44.0,0.88,False,False,False,qr_checkin
